REGION,YEAR,PEOPLE HAVING HIV
Western Pacific,2006,1300000.0
Western Pacific,2005,1200000.0
Western Pacific,2004,1200000.0
Western Pacific,2003,1100000.0
Western Pacific,2002,1100000.0
Western Pacific,2001,980000.0
Western Pacific,2000,910000.0
Western Pacific,1999,820000.0
Western Pacific,1998,730000.0
Western Pacific,1997,640000.0
Western Pacific,1996,540000.0
Western Pacific,1995,440000.0
Western Pacific,1994,320000.0
Western Pacific,1993,200000.0
Western Pacific,1992,150000.0
Western Pacific,1991,120000.0
Western Pacific,1990,90000.0
